riftuser@riftvm:~/nvidia-baseline/src$ ./sm_mapping 
block=34 sm=68
block=23 sm=46
block=18 sm=36
block=5 sm=10
block=0 sm=0
block=29 sm=58
block=30 sm=60
block=39 sm=78
block=24 sm=48
block=51 sm=23
block=46 sm=13
block=17 sm=34
block=52 sm=25
block=63 sm=47
block=58 sm=37
block=1 sm=2
block=45 sm=11
block=40 sm=1
block=59 sm=39
block=11 sm=22
block=6 sm=12
block=35 sm=70
block=36 sm=72
block=62 sm=45
block=57 sm=35
block=12 sm=24
block=43 sm=7
block=25 sm=50
block=60 sm=41
block=44 sm=9
block=61 sm=43
block=7 sm=14
block=42 sm=5
block=28 sm=56
block=38 sm=76
block=31 sm=62
block=32 sm=64
block=37 sm=74
block=27 sm=54
block=53 sm=27
block=26 sm=52
block=50 sm=21
block=49 sm=19
block=41 sm=3
block=48 sm=17
block=56 sm=33
block=33 sm=66
block=19 sm=38
block=54 sm=29
block=22 sm=44
block=15 sm=30
block=47 sm=15
block=20 sm=40
block=4 sm=8
block=3 sm=6
block=13 sm=26
block=2 sm=4
block=10 sm=20
block=21 sm=42
block=8 sm=16
block=16 sm=32
block=9 sm=18
block=14 sm=28
block=55 sm=31
