riftuser@riftvm:~/nvidia-baseline/src$ ./thread_mapping 
block=0 thread=0 global=0
block=0 thread=1 global=1
block=0 thread=2 global=2
block=0 thread=3 global=3
block=0 thread=4 global=4
block=0 thread=5 global=5
block=0 thread=6 global=6
block=0 thread=7 global=7
block=1 thread=0 global=8
block=1 thread=1 global=9
block=1 thread=2 global=10
block=1 thread=3 global=11
block=1 thread=4 global=12
block=1 thread=5 global=13
block=1 thread=6 global=14
block=1 thread=7 global=15
block=2 thread=0 global=16
block=2 thread=1 global=17
block=2 thread=2 global=18
block=2 thread=3 global=19
block=2 thread=4 global=20
block=2 thread=5 global=21
block=2 thread=6 global=22
block=2 thread=7 global=23
